Date,Price,Open,High,Low,Vol.,Change %
2018-01-01,10435.55,10531.7,10537.85,10423.1,134.53M,-0.009
2017-12-29,10530.7,10492.35,10538.7,10488.65,156.74M,0.005
2017-12-28,10477.9,10498.2,10534.55,10460.45,281.31M,-0.0012
2017-12-27,10490.75,10531.05,10552.4,10469.25,170.31M,-0.0039
2017-12-26,10531.5,10512.3,10545.45,10477.95,160.42M,0.0037
2017-12-22,10493.0,10457.3,10501.1,10448.25,143.12M,0.005
2017-12-21,10440.3,10473.95,10473.95,10426.9,156.65M,-0.0004
2017-12-20,10444.2,10494.4,10494.45,10437.15,180.60M,-0.0018
2017-12-19,10463.2,10414.8,10472.2,10406.0,174.34M,0.0072
2017-12-18,10388.75,10263.1,10443.55,10074.8,237.51M,0.0054
2017-12-15,10333.25,10345.65,10373.1,10319.65,262.98M,0.0079
2017-12-14,10252.1,10229.3,10276.1,10141.55,159.10M,0.0058
2017-12-13,10192.95,10236.6,10296.55,10169.85,187.19M,-0.0046
2017-12-12,10240.15,10324.9,10326.1,10230.2,180.55M,-0.008
2017-12-11,10322.25,10310.5,10329.2,10282.05,152.04M,0.0055
2017-12-08,10265.65,10198.45,10270.85,10195.25,206.23M,0.0097
2017-12-07,10166.7,10063.45,10182.65,10061.9,171.34M,0.0122
2017-12-06,10044.1,10088.8,10104.2,10033.35,171.21M,-0.0073
2017-12-05,10118.25,10118.25,10147.95,10069.1,160.25M,-0.0009
2017-12-04,10127.75,10175.05,10179.2,10095.7,153.24M,0.0006
2017-12-01,10121.8,10263.7,10272.7,10108.55,147.77M,-0.0102
2017-11-30,10226.55,10332.7,10332.7,10211.25,353.10M,-0.013
2017-11-29,10361.3,10376.65,10392.95,10345.9,157.19M,-0.0009
2017-11-28,10370.25,10387.9,10409.55,10355.2,202.05M,-0.0028
2017-11-27,10399.55,10361.05,10407.15,10340.2,146.28M,0.0009
2017-11-24,10389.7,10366.8,10404.5,10362.25,133.18M,0.004
2017-11-23,10348.75,10358.45,10374.3,10307.3,157.65M,0.0006
2017-11-22,10342.3,10350.8,10368.7,10309.55,162.50M,0.0015
2017-11-21,10326.9,10329.25,10358.7,10315.05,191.86M,0.0027
2017-11-20,10298.75,10287.2,10309.85,10261.5,151.75M,0.0015
2017-11-17,10283.6,10324.55,10343.6,10268.05,209.59M,0.0067
2017-11-16,10214.75,10152.9,10232.25,10139.2,188.18M,0.0096
2017-11-15,10118.05,10171.95,10175.45,10094.0,213.84M,-0.0067
2017-11-14,10186.6,10223.4,10248.0,10175.55,314.41M,-0.0038
2017-11-13,10224.95,10322.0,10334.15,10216.25,216.80M,-0.0094
2017-11-10,10321.75,10304.35,10344.95,10254.1,287.96M,0.0012
2017-11-09,10308.95,10358.65,10368.45,10266.95,247.61M,0.0006
2017-11-08,10303.15,10361.95,10384.25,10285.5,282.95M,-0.0045
2017-11-07,10350.15,10477.15,10485.75,10340.8,295.83M,-0.0097
2017-11-06,10451.8,10431.75,10490.45,10413.75,199.56M,-0.0001
2017-11-03,10452.5,10461.55,10461.7,10403.6,206.10M,0.0028
2017-11-02,10423.8,10440.5,10453.0,10412.55,207.74M,-0.0016
2017-11-01,10440.5,10390.35,10451.65,10383.05,268.27M,0.0102
2017-10-31,10335.3,10364.9,10367.7,10323.95,239.81M,-0.0027
2017-10-30,10363.65,10353.85,10384.5,10344.3,244.19M,0.0039
2017-10-27,10323.05,10362.3,10366.15,10311.3,322.41M,-0.002
2017-10-26,10343.8,10291.8,10355.65,10271.85,443.04M,0.0047
2017-10-25,10295.35,10321.15,10340.55,10240.9,612.62M,0.0086
2017-10-24,10207.7,10218.55,10237.75,10182.4,223.91M,0.0022
2017-10-23,10184.85,10176.65,10224.15,10124.5,224.80M,0.0038
2017-10-19,10146.55,10210.35,10211.95,10123.35,31.09M,-0.0063
2017-10-18,10210.85,10209.4,10236.45,10175.75,262.11M,-0.0023
2017-10-17,10234.45,10227.65,10251.85,10212.6,201.78M,0.0004
2017-10-16,10230.85,10207.4,10242.95,10175.1,209.33M,0.0062
2017-10-13,10167.45,10123.7,10191.9,10120.1,237.23M,0.007
2017-10-12,10096.4,10011.2,10104.45,9977.1,207.11M,0.0112
2017-10-11,9984.8,10042.6,10067.25,9955.8,195.59M,-0.0032
2017-10-10,10016.95,10013.7,10034.0,10002.3,153.25M,0.0028
2017-10-09,9988.75,9988.2,10015.75,9959.45,148.40M,0.0009
2017-10-06,9979.7,9908.15,9989.35,9906.6,201.86M,0.0092
2017-10-05,9888.7,9927.0,9945.95,9881.85,152.36M,-0.0026
2017-10-04,9914.9,9884.35,9938.3,9850.65,160.99M,0.0056
2017-10-03,9859.5,9893.3,9895.4,9831.05,167.83M,0.0072
2017-09-29,9788.6,9814.3,9854.0,9775.35,202.35M,0.002
2017-09-28,9768.95,9736.4,9789.2,9687.55,396.88M,0.0034
2017-09-27,9735.75,9920.6,9921.05,9714.4,206.31M,-0.0138
2017-09-26,9871.5,9875.25,9891.35,9813.0,196.79M,-0.0001
2017-09-25,9872.6,9960.1,9960.5,9816.05,228.21M,-0.0092
2017-09-22,9964.4,10094.35,10095.05,9952.8,233.62M,-0.0156
2017-09-21,10121.9,10139.6,10158.9,10058.6,197.71M,-0.0019
2017-09-20,10141.15,10160.95,10171.05,10134.2,205.60M,-0.0006
2017-09-19,10147.55,10175.6,10178.95,10129.95,193.35M,-0.0005
2017-09-18,10153.1,10133.1,10171.7,10131.3,160.85M,0.0067
2017-09-15,10085.4,10062.35,10115.15,10043.65,274.80M,-0.0001
2017-09-14,10086.6,10107.4,10126.5,10070.35,232.64M,0.0007
2017-09-13,10079.3,10099.25,10131.95,10063.15,221.61M,-0.0014
2017-09-12,10093.05,10056.85,10097.55,10028.05,188.25M,0.0087
2017-09-11,10006.05,9971.75,10028.65,9968.8,178.41M,0.0072
2017-09-08,9934.8,9958.65,9963.6,9913.3,168.70M,0.0005
2017-09-07,9929.9,9945.85,9964.85,9917.2,194.63M,0.0014
2017-09-06,9916.2,9899.25,9931.55,9882.55,153.77M,-0.0036
2017-09-05,9952.2,9933.25,9963.1,9901.05,143.52M,0.004
2017-09-04,9912.85,9984.15,9988.4,9861.0,153.37M,-0.0062
2017-09-01,9974.4,9937.65,9983.45,9909.85,162.73M,0.0057
2017-08-31,9917.9,9905.7,9925.1,9856.95,337.78M,0.0034
2017-08-30,9884.4,9859.5,9909.45,9850.8,162.70M,0.009
