Date,Price,Open,High,Low,Change %
2010-10-12,70.37,70.494,71.109,70.083,-0.0022
2010-10-11,70.524,70.846,70.867,70.397,-0.0055
2010-10-08,70.911,70.133,70.92,69.954,0.0105
2010-10-07,70.174,70.216,70.837,69.793,-0.0016
2010-10-06,70.284,70.638,70.811,70.15,-0.0051
2010-10-05,70.646,70.54,71.044,70.168,0.0014
2010-10-04,70.548,70.091,70.702,69.743,0.0051
2010-10-01,70.191,69.99,70.775,69.911,0.0023
2010-09-30,70.032,70.57,70.972,69.812,-0.0081
2010-09-29,70.605,71.068,71.391,70.512,-0.0067
2010-09-28,71.079,71.139,71.787,70.869,-0.0023
2010-09-27,71.242,71.357,71.55,70.928,-0.0018
2010-09-24,71.371,71.266,71.685,70.951,0.0018
2010-09-23,71.246,71.31,71.755,71.134,-0.002
2010-09-22,71.391,71.275,71.527,70.667,0.0014
2010-09-21,71.29,71.041,71.38,70.541,0.0031
2010-09-20,71.071,71.765,71.897,70.898,-0.0083
2010-09-17,71.665,72.061,72.317,71.501,-0.0059
2010-09-16,72.09,72.176,72.451,71.728,-0.0011
2010-09-15,72.169,71.856,72.387,71.307,0.0039
2010-09-14,71.887,71.413,72.035,70.854,0.006
2010-09-13,71.457,71.003,71.811,70.905,0.0057
2010-09-10,71.05,71.523,71.611,70.96,-0.0067
2010-09-09,71.529,71.917,72.082,71.365,-0.0056
2010-09-08,71.935,71.917,72.339,71.189,-0.0003
2010-09-07,71.953,71.627,72.087,70.963,0.0043
